Name,Platform,Genre,Rating,Critic_Score,Critic_Count,User_Score,User_Count,NA_Sales
Batman: Arkham Asylum,X360,Action,T,92,78,86,1080,2.2
Tekken 4,PS2,Fighting,T,79,23,82,126,1.55
Grand Theft Auto 2,PS,Action,T,70,15,79,67,1.13
Spider-Man 2,PS2,Action,T,80,50,88,106,1.75
Destiny,XOne,Shooter,T,75,11,54,1735,2.14
James Bond 007: Nightfire,PS2,Shooter,T,77,20,84,66,1.45
Star Wars Episode III: Revenge of the Sith,PS2,Action,T,60,34,71,82,1.47
The Lord of the Rings: The Return of the King,PS2,Action,T,85,31,86,105,1.5
Enter the Matrix,PS2,Action,T,62,30,80,137,1.78
Crisis Core: Final Fantasy VII,PSP,Role-Playing,T,83,67,79,463,1.35
Dance Central,X360,Misc,T,82,63,75,85,2.15
Dragon Ball Z: Budokai,PS2,Fighting,T,67,28,78,71,2.17
The Sims: Vacation,PC,Simulation,T,75,18,77,22,1.72
The Sims 4,PC,Simulation,T,70,74,38,2057,1
Tom Clancy's Splinter Cell,XB,Action,T,93,46,84,121,1.85
Dragon Ball Z: Budokai Tenkaichi 3,PS2,Fighting,T,73,24,91,173,1.15
The Sims: Livin Large,PC,Misc,T,82,23,65,20,1.67
Star Wars: The Old Republic,PC,Role-Playing,T,85,73,58,2748,1.58
Street Fighter IV,X360,Fighting,T,93,77,72,292,1.82
inFAMOUS,PS3,Action,T,85,98,82,1172,1.76
Call of Duty: Finest Hour,PS2,Shooter,T,76,49,76,69,1.51
The Elder Scrolls III: Morrowind,XB,Role-Playing,T,87,34,86,111,2.09
Metroid Prime,GC,Shooter,T,97,70,92,747,1.96
inFAMOUS: Second Son,PS4,Action,T,80,90,78,2944,1.28
Jak II,PS2,Platform,T,87,47,81,241,1.68
The Sims,PS2,Simulation,T,83,33,76,46,1.41
Star Wars: The Force Unleashed,X360,Action,T,73,74,66,389,1.74
Tekken 6,PS3,Fighting,T,79,63,73,211,1.2
Call of Duty 3,X360,Shooter,T,82,71,64,233,1.49
Burnout 3: Takedown,PS2,Racing,T,93,52,90,271,1.23
Call Of Duty 2: Big Red One,PS2,Shooter,T,77,39,81,69,1.48
Medal of Honor,PS,Shooter,T,92,17,85,80,1.44
Guitar Hero: World Tour,X360,Misc,T,85,67,62,171,1.78
Tom Clancy's Splinter Cell,PS2,Action,T,89,24,76,102,1.15
Medal of Honor Heroes,PSP,Shooter,T,71,24,78,47,0.86
Final Fantasy XIII-2,PS3,Role-Playing,T,79,53,65,707,0.78
Midnight Club: Street Racing,PS2,Racing,T,78,18,77,21,2
Skate 3,X360,Sports,T,80,65,79,127,1.47
Halo Wars,X360,Strategy,T,82,92,71,454,1.54
WWE SmackDown vs. RAW 2007,PS2,Fighting,T,80,27,85,57,1.4
Monster Hunter Freedom 2,PSP,Role-Playing,T,72,38,86,83,0.37
Crazy Taxi,PS2,Racing,T,80,15,78,46,1.13
Marvel: Ultimate Alliance,X360,Role-Playing,T,82,68,74,120,2.29
Rock Band,X360,Misc,T,92,72,81,178,1.93
Final Fantasy Tactics,PS,Role-Playing,T,83,12,81,190,0.93
Midnight Club: Los Angeles,PS3,Racing,T,82,50,81,100,1.56
The Sims: Bustin' Out,PS2,Simulation,T,81,26,83,42,1.07
Dragon Ball Z: Budokai 2,PS2,Fighting,T,66,28,81,92,1.63
Guitar Hero,PS2,Misc,T,91,65,86,173,1.67
The Incredibles,PS2,Action,T,62,36,75,22,0.96
Tony Hawk's Underground 2,PS2,Sports,T,83,59,87,55,1.25
Midnight Club: Los Angeles,X360,Racing,T,81,66,84,142,1.68
WWE SmackDown vs Raw 2008,PS2,Fighting,T,71,11,71,31,0.92
James Bond 007: Everything or Nothing,PS2,Shooter,T,84,42,90,51,0.85
Guild Wars 2,PC,Action,T,90,69,78,2954,0.96
Batman: Arkham Origins,PS3,Action,T,76,46,76,668,1.07
The Sims 3,X360,Simulation,T,76,42,70,71,1.27
Guitar Hero III: Legends of Rock,PS3,Misc,T,83,45,77,52,1.4
Call of Duty 3,Wii,Shooter,T,69,42,66,61,1.17
Dissidia: Final Fantasy,PSP,Fighting,T,79,61,79,139,0.51
Prince of Persia: The Sands of Time,PS2,Action,T,92,44,87,204,0.88
Monster Hunter Tri,Wii,Role-Playing,T,84,70,85,219,0.65
Star Wars: The Force Unleashed,PS3,Action,T,71,47,65,233,1.01
Guitar Hero II,X360,Misc,T,92,55,80,220,2.01
Rock Band 2,X360,Misc,T,92,69,82,156,1.78
Star Wars: Knights of the Old Republic,XB,Role-Playing,T,94,72,91,317,1.68
Final Fantasy XIII,X360,Role-Playing,T,82,54,62,539,1.28
The Sims: House Party,PC,Simulation,T,74,17,78,30,1.23
Overwatch,PS4,Shooter,T,90,31,60,1358,0.81
Call of Duty: Roads to Victory,PSP,Shooter,T,64,45,74,30,0.52
Dynasty Warriors 4,PS2,Action,T,78,24,92,201,0.63
World of Warcraft: Cataclysm,PC,Role-Playing,T,90,53,55,953,1.77
Rock Band,Wii,Misc,T,80,21,62,37,1.33
UFC 2009 Undisputed,X360,Fighting,T,83,68,78,51,1.48
Metal Gear Solid: Peace Walker,PSP,Action,T,89,66,88,443,0.46
SoulCalibur II,PS2,Fighting,T,92,41,87,120,1.06
Need For Speed: Undercover,PS3,Racing,T,59,40,58,71,0.63
SOCOM: U.S. Navy SEALs: Combined Assault,PS2,Shooter,T,72,38,89,34,1.74
Peter Jackson's King Kong: The Official Game of the Movie,PS2,Action,T,82,41,81,68,0.71
Dance Central 2,X360,Misc,T,86,56,81,63,1.45
Call of Duty 2,X360,Shooter,T,89,65,80,307,1.82
Fire Emblem: Awakening,3DS,Role-Playing,T,92,72,90,1130,0.9
Need for Speed: The Run,PS3,Action,T,64,48,63,182,0.58
Mortal Kombat vs. DC Universe,PS3,Fighting,T,76,44,70,107,1.48
Skate 3,PS3,Sports,T,80,46,75,82,0.79
Forza Horizon,X360,Racing,T,85,83,83,431,0.82
Def Jam Vendetta,PS2,Fighting,T,80,33,88,41,0.95
The Sims 3,PS3,Simulation,T,78,39,63,55,0.73
Dragon Ball Z: Budokai 3,PS2,Fighting,T,77,32,88,137,1.09
X-Men Legends,PS2,Role-Playing,T,79,48,84,69,1
Mortal Kombat vs. DC Universe,X360,Fighting,T,72,61,74,87,1.53
Destiny: The Taken King,PS4,Shooter,T,86,81,59,1079,0.78
The Sims: Makin' Magic,PC,Simulation,T,80,22,85,31,1.03
Guitar Hero: World Tour,PS3,Misc,T,84,43,74,80,1.1
Star Wars Rogue Leader: Rogue Squadron II,GC,Simulation,T,90,45,85,80,1.03
Batman: Arkham Origins,X360,Action,T,74,46,74,685,1.15
Star Fox Adventures,GC,Adventure,T,82,39,76,145,0.96
Dynasty Warriors 3,PS2,Action,T,78,17,90,90,0.53
The Legend of Dragoon,PS,Role-Playing,T,74,12,83,248,0.94
Star Wars: The Force Unleashed,Wii,Action,T,71,18,78,75,1.11
Chrono Cross,PS,Role-Playing,T,94,16,80,297,0.62
Jak 3,PS2,Platform,T,84,55,85,246,1.33
inFAMOUS 2,PS3,Action,T,83,90,83,932,1.05
World of Warcraft: Mists of Pandaria,PC,Role-Playing,T,82,42,47,1265,0.84
The Sims: Hot Date,PC,Simulation,T,85,17,78,70,1.81
Virtua Fighter 4,PS2,Fighting,T,94,36,79,84,0.78
Metroid Prime 3: Corruption,Wii,Shooter,T,90,62,88,491,0.89
Midnight Club II,PS2,Racing,T,85,41,84,47,1.25
Dead or Alive 3,XB,Fighting,T,87,35,85,44,1.19
UFC 2009 Undisputed,PS3,Fighting,T,84,58,80,47,1.07
The Urbz: Sims in the City,PS2,Simulation,T,70,25,81,24,0.52
Star Wars: Starfighter,PS2,Simulation,T,84,25,79,21,0.61
Star Wars: Battlefront,XB,Shooter,T,80,55,90,57,1.24
Xenosaga Episode I: Der Wille zur Macht,PS2,Role-Playing,T,83,35,86,99,0.63
Kinect Star Wars,X360,Action,T,55,61,34,145,1.05
Dragon Quest VI: Realms of Revelation,DS,Role-Playing,T,78,41,80,31,0.2
The Crew,PS4,Racing,T,61,60,53,575,0.35
Star Ocean: Till The End of Time,PS2,Role-Playing,T,80,55,76,134,0.8
The Beatles: Rock Band,Wii,Misc,T,89,25,88,43,1.17
Ace Combat 5: The Unsung War,PS2,Simulation,T,84,57,90,81,0.88
The Sims 3: Late Night Expansion Pack,PC,Simulation,T,74,17,52,77,0.59
No Man's Sky,PS4,Action,T,71,94,44,5096,0.63
Need For Speed: Undercover,X360,Racing,T,64,62,58,104,0.79
The Sims: Superstar,PC,Simulation,T,79,20,81,25,1.67
Star Wars Battlefront: Renegade Squadron,PSP,Shooter,T,73,35,78,46,0.9
Star Wars: Battlefront II,XB,Shooter,T,83,40,88,106,1.22
Spy Hunter,PS2,Racing,T,84,28,77,13,1.13
Fight Night Round 3,PS3,Fighting,T,83,37,78,24,0.81
StarCraft II: Heart of the Swarm,PC,Strategy,T,86,68,78,1346,0.83
Dragon Ball Z: Budokai Tenkaichi,PS2,Fighting,T,72,29,83,71,0.96
Star Wars The Clone Wars: Lightsaber Duels,Wii,Action,T,56,24,66,18,1.21
Heavenly Sword,PS3,Action,T,79,64,82,544,0.57
Rock Band,PS3,Misc,T,92,35,83,107,0.99
The Legend of Zelda: Twilight Princess,GC,Action,T,96,16,91,568,1.15
SoulCalibur IV,X360,Fighting,T,85,62,78,157,0.92
Conflict: Desert Storm,PS2,Shooter,T,55,10,85,45,0.98
Smuggler's Run,PS2,Racing,T,79,21,67,18,0.77
Fight Night Round 3,PS2,Fighting,T,84,32,80,41,1.07
Need for Speed: Most Wanted,X360,Racing,T,83,54,84,134,0.62
Stuntman,PS2,Racing,T,71,37,56,36,0.76
Guitar Hero 5,Wii,Misc,T,89,25,68,49,0.92
Dark Cloud,PS2,Role-Playing,T,80,27,81,99,0.83
Warcraft III: The Frozen Throne,PC,Strategy,T,88,23,89,713,0.58
Tom Clancy's Ghost Recon Advanced Warfighter,X360,Shooter,T,90,78,79,215,1.4
Uncharted: Golden Abyss,PSV,Shooter,T,80,80,73,770,0.53
The Simpsons Skateboarding,PS2,Sports,T,38,21,49,26,0.36
Fight Night Round 4,PS3,Fighting,T,88,46,75,95,0.92
The Simpsons Game,PS2,Action,T,68,10,81,27,0.35
The Simpsons Game,DS,Action,T,69,17,72,18,0.56
SoulCalibur II,GC,Fighting,T,93,45,90,135,0.99
Call of Duty 3,PS3,Shooter,T,80,43,68,92,0.6
Star Wars: The Force Unleashed II,PS3,Action,T,63,41,67,121,0.8
Rock Band 2,PS3,Misc,T,91,24,78,88,1.13
Final Fantasy: Crystal Chronicles,GC,Role-Playing,T,80,55,80,94,0.72
Medal of Honor: Frontline,XB,Shooter,T,81,18,68,23,1
Dirge of Cerberus: Final Fantasy VII,PS2,Shooter,T,57,51,68,103,0.47
007: Quantum of Solace,X360,Action,T,65,69,70,71,0.82
Fight Night 2004,PS2,Fighting,T,85,43,89,25,1.08
Tom Clancy's Splinter Cell: Pandora Tomorrow,XB,Action,T,93,74,85,68,0.82
Fight Night Round 3,X360,Fighting,T,86,67,87,264,1.33
Xenogears,PS,Role-Playing,T,84,15,83,204,0.29
SoulCalibur IV,PS3,Fighting,T,85,65,78,129,0.72
Battlefield: Bad Company,X360,Shooter,T,83,70,76,263,0.81
Star Wars: The Force Unleashed II,X360,Action,T,61,59,56,180,0.95
WWE SmackDown vs Raw 2008,X360,Fighting,T,71,41,67,48,0.92
Cabela's Big Game Hunter,PS2,Sports,T,59,7,77,12,0.7
UFC Undisputed 2010,PS3,Fighting,T,85,54,71,48,0.8
Fight Night Round 4,X360,Fighting,T,87,76,80,86,0.95
Dynasty Warriors 5,PS2,Action,T,69,29,87,68,0.24
Injustice: Gods Among Us,X360,Fighting,T,81,63,78,362,0.97
Dave Mirra Freestyle BMX 2,PS2,Sports,T,81,21,80,18,0.67
Star Wars Knights of the Old Republic II: The Sith Lords,XB,Role-Playing,T,86,67,85,140,0.99
The Sims 2,PSP,Simulation,T,65,17,68,32,0.49
Tom Clancy's Ghost Recon 2,XB,Shooter,T,80,53,88,58,0.86
Need for Speed: The Run,X360,Action,T,68,65,59,160,0.63
WWE '13,PS3,Action,T,76,24,80,99,0.51
MotorStorm: Pacific Rift,PS3,Racing,T,82,63,79,318,0.43
Samurai Warriors,PS2,Action,T,73,37,86,23,0.22
Test Drive,PS2,Racing,T,73,19,73,23,0.95
Metroid: Other M,Wii,Action,T,79,71,64,482,0.85
Marvel vs. Capcom 3: Fate of Two Worlds,PS3,Fighting,T,84,56,72,147,0.81
Monster Hunter Freedom,PSP,Role-Playing,T,71,34,85,78,0.24
Lost Planet: Extreme Condition,X360,Shooter,T,79,76,70,187,1.09
Battlefield: Bad Company,PS3,Shooter,T,84,50,80,203,0.76
Alan Wake,X360,Action,T,83,100,80,1156,0.66
Metroid Prime 2: Echoes,GC,Shooter,T,92,60,87,279,0.87
WWE SmackDown vs Raw 2008,PS3,Fighting,T,74,27,72,41,0.62
UFC Undisputed 2010,X360,Fighting,T,84,70,66,80,0.9
World of Warcraft: Wrath of the Lich King,PC,Role-Playing,T,91,47,74,930,0.01
Burnout 3: Takedown,XB,Racing,T,94,76,71,139,0.84
The Beatles: Rock Band,X360,Misc,T,89,76,85,127,0.97
SingStar '80s,PS2,Misc,T,78,22,82,6,0.27
Tekken 6,X360,Fighting,T,80,59,69,132,0.71
Transformers,PS2,Shooter,T,75,51,85,27,0.63
Champions of Norrath,PS2,Role-Playing,T,85,51,83,57,0.63
Castlevania: Symphony of the Night,PS,Platform,T,93,12,93,358,0.58
Guitar Hero: Aerosmith,Wii,Misc,T,73,16,71,19,1.03
The Sims 2: Nightlife,PC,Simulation,T,76,31,65,71,1.22
Dark Souls II,PS3,Role-Playing,T,91,69,80,1107,0.4
Tony Hawk's Underground,XB,Sports,T,85,33,90,26,0.85
.hack//Infection Part 1,PS2,Role-Playing,T,75,35,84,60,0.49
Valkyria Chronicles,PS3,Role-Playing,T,86,60,85,433,0.71
WWE '12,X360,Fighting,T,71,52,62,89,0.74
Battle Arena Toshinden,PS,Fighting,T,69,4,62,4,0.39
WWE '13,X360,Action,T,78,46,79,110,0.72
Final Fantasy X / X-2 HD Remaster,PS3,Role-Playing,T,85,50,84,332,0.43
Tomb Raider: Underworld,PS3,Action,T,75,42,71,166,0.45
Star Wars: The Force Unleashed,PS2,Action,T,68,7,73,33,0.49
Need for Speed: Most Wanted,X360,Racing,T,83,54,84,134,1
Lara Croft Tomb Raider: The Angel of Darkness,PS2,Action,T,52,37,61,106,0.61
Tom Clancy's Splinter Cell: Pandora Tomorrow,PS2,Action,T,87,45,85,34,0.52
Ratchet: Deadlocked,PS2,Shooter,T,81,51,88,155,0.85
Baldur's Gate: Dark Alliance,PS2,Role-Playing,T,87,29,82,90,0.61
Oddworld: Abe's Oddysee,PS,Platform,T,85,10,89,96,0.75
WWE SmackDown vs. Raw 2009,PS2,Fighting,T,78,9,68,34,0.69
Star Wars Episode III: Revenge of the Sith,XB,Action,T,61,44,80,54,0.82
Hyrule Warriors,WiiU,Action,T,76,81,82,662,0.58
Guitar Hero: Aerosmith,X360,Misc,T,70,59,66,48,1
Tales of Xillia,PS3,Role-Playing,T,78,65,81,468,0.29
Call of Duty: Finest Hour,XB,Shooter,T,73,55,77,22,0.78
Star Wars: Battlefront II,PSP,Shooter,T,69,22,84,111,1.05
Super Street Fighter IV: 3D Edition,3DS,Fighting,T,85,69,80,206,0.55
WWE 2K16,PS4,Sports,T,73,47,73,237,0.41
Naruto Shippuden: Ultimate Ninja Storm 2,PS3,Fighting,T,76,34,82,130,0.42
Medal of Honor: Airborne,PS3,Shooter,T,75,16,75,39,0.25
The Lord of the Rings: The Fellowship of the Ring,PS2,Action,T,59,19,50,20,0.59
The Sims 2: Castaway,Wii,Simulation,T,73,19,81,10,0.44
Enter the Matrix,XB,Action,T,65,33,70,75,0.72
Destiny: The Taken King,XOne,Shooter,T,89,11,51,393,0.85
WWE SmackDown vs Raw 2008,PSP,Fighting,T,68,11,77,15,0.45
Injustice: Gods Among Us,PS3,Fighting,T,78,37,78,282,0.48
One Piece: Pirate Warriors,PS3,Action,T,64,33,64,55,0.01
WWE '12,PS3,Fighting,T,72,28,68,80,0.53
Cabela's Dangerous Hunts,PS2,Sports,T,57,4,83,37,0.57
WWE SmackDown vs. Raw 2010,PS3,Fighting,T,81,38,80,55,0.48
Medal of Honor: Rising Sun,XB,Shooter,T,65,23,57,28,0.76
Tom Clancy's Ghost Recon: Jungle Storm,PS2,Shooter,T,70,31,62,24,0.57
Bushido Blade,PS,Fighting,T,83,13,78,16,0.39
Mirror's Edge,X360,Platform,T,79,82,75,328,0.51
Final Fantasy Tactics: The War of the Lions,PSP,Role-Playing,T,88,41,79,238,0.45
Gauntlet: Dark Legacy,PS2,Action,T,73,15,82,30,0.56
Medal of Honor Heroes 2,PSP,Shooter,T,69,20,72,30,0.5
WWE 2K15,PS4,Sports,T,62,44,50,164,0.39
Shadow of the Colossus,PS2,Action,T,91,77,90,933,0.78
WWE 2K14,PS3,Sports,T,74,22,74,121,0.49
007: Quantum of Solace,PS3,Action,T,65,42,65,47,0.43
The Lord of the Rings: The Return of the King,XB,Action,T,84,31,90,31,0.71
Mobile Suit Gundam: Federation vs. Zeon,PS2,Simulation,T,73,15,87,32,0.12
Naruto Shippuden: Ultimate Ninja Storm 4,PS4,Fighting,T,79,60,81,201,0.41
MechAssault,XB,Simulation,T,87,32,79,47,1.01
Mirror's Edge,PS3,Platform,T,79,66,77,362,0.31
Guitar Hero 5,X360,Misc,T,85,69,67,108,0.65
SingStar,PS3,Misc,T,82,48,58,15,0.45
Rocksmith,PS3,Misc,T,80,27,82,52,0.53
Call Of Duty 2: Big Red One,XB,Shooter,T,78,46,50,27,0.66
Rocksmith,X360,Misc,T,77,30,81,62,0.84
Guitar Hero 5,PS2,Misc,T,71,4,25,10,0.28
Spider-Man 2,XB,Action,T,83,60,82,40,0.82
The Beatles: Rock Band,PS3,Misc,T,88,60,86,59,0.67
Guitar Hero Encore: Rocks The 80s,PS2,Misc,T,69,50,62,31,0.92
Rock Band,PS2,Misc,T,82,8,67,13,0.71
WWE 2K14,X360,Sports,T,75,43,76,100,0.64
Dragon Ball: XenoVerse,PS4,Fighting,T,69,50,76,598,0.3
Tales of Symphonia,GC,Role-Playing,T,86,60,84,176,0.54
Medal of Honor: Airborne,X360,Shooter,T,73,54,66,77,0.45
Guitar Hero 5,PS3,Misc,T,86,54,56,87,0.53
Untold Legends: Brotherhood of the Blade,PSP,Role-Playing,T,68,51,75,58,0.54
Star Wars: Bounty Hunter,PS2,Shooter,T,65,32,82,33,0.53
WWE SmackDown vs. Raw 2011,PS3,Fighting,T,74,42,68,41,0.44
Skate 2,X360,Sports,T,84,70,79,72,0.82
Empire: Total War,PC,Strategy,T,90,62,68,2981,0.01
Virtua Fighter 5,PS3,Fighting,T,85,47,73,67,0.29
Tom Clancy's Ghost Recon 2,PS2,Shooter,T,58,21,59,19,0.64
Star Wars: The Force Unleashed,PSP,Action,T,70,10,80,49,0.43
Dragon Ball Z: Taiketsu,GBA,Fighting,T,40,23,60,22,0.77
Star Fox: Assault,GC,Shooter,T,67,59,80,106,0.68
The Simpsons Game,PSP,Action,T,59,7,66,15,0.24
Call of Duty 3,PS2,Shooter,T,82,14,73,83,0.89
Prince of Persia,PS3,Action,T,85,59,72,245,0.47
Tomb Raider: Underworld,X360,Action,T,76,57,65,198,0.53
SoulCalibur III,PS2,Fighting,T,86,57,83,96,0.74
Naruto: Ultimate Ninja Storm,PS3,Fighting,T,75,32,85,95,0.49
Lightning Returns: Final Fantasy XIII,PS3,Role-Playing,T,66,62,58,552,0.31
DJ Hero,X360,Misc,T,84,72,79,42,0.56
Bully: Scholarship Edition,X360,Action,T,80,56,82,154,0.53
Hulk,PS2,Action,T,71,28,82,22,0.52
Overwatch,XOne,Shooter,T,91,18,55,668,0.63
Seek and Destroy,PS2,Racing,T,63,9,87,10,0.52
Mercenaries 2: World in Flames,X360,Shooter,T,72,69,71,152,0.65
Warhawk,PS3,Simulation,T,84,50,83,183,0.49
DiRT 3,PS3,Racing,T,87,52,70,122,0.27
Call of Duty 4: Modern Warfare,DS,Shooter,T,75,22,68,36,0.95
SOCOM: U.S. Navy SEALs Fireteam Bravo 2,PSP,Shooter,T,81,31,89,36,0.81
The Simpsons: Road Rage,XB,Racing,T,61,17,82,6,0.78
EA Sports UFC,PS4,Sports,T,70,57,60,279,0.46
Legacy of Kain: Soul Reaver,PS,Action,T,91,17,89,132,0.58
WWE SmackDown vs. Raw 2010,X360,Fighting,T,80,59,83,36,0.56
Naruto: Clash of Ninja 2,GC,Fighting,T,74,22,88,39,0.44
Need for Speed: Most Wanted,XB,Racing,T,83,32,87,29,0.53
The Simpsons Game,X360,Action,T,71,52,76,71,0.54
Brink,X360,Shooter,T,68,85,57,404,0.59
UFC Undisputed 3,PS3,Action,T,86,30,73,92,0.55
Tom Clancy's Ghost Recon Advanced Warfighter 2,PS3,Shooter,T,84,29,80,41,0.34
The Legend of Zelda: Twilight Princess HD,WiiU,Action,T,86,74,83,329,0.56
Street Fighter Alpha 3,PS,Fighting,T,93,12,84,46,0.38
MotorStorm: Arctic Edge,PSP,Racing,T,79,58,87,39,0.16
Dragon Ball Z: Budokai Tenkaichi 3,Wii,Fighting,T,72,27,83,61,0.32
Tom Clancy's Ghost Recon Advanced Warfighter 2,X360,Shooter,T,86,58,80,89,0.87
Rock Band 2,Wii,Misc,T,92,10,76,45,0.93
Naruto: Clash of Ninja Revolution,Wii,Fighting,T,74,23,79,27,0.44
Ace Combat 6: Fires of Liberation,X360,Simulation,T,80,54,78,101,0.69
The Simpsons Game,Wii,Action,T,64,19,60,38,0.45
Prince of Persia,X360,Action,T,81,73,69,189,0.54
SoulCalibur II,XB,Fighting,T,92,39,88,54,0.78
Dynasty Warriors 3: Xtreme Legends,PS2,Action,T,72,16,92,54,0.13
UFC Undisputed 3,X360,Action,T,85,60,75,88,0.72
Oddworld: Abe's Exoddus,PS,Platform,T,88,13,90,69,0.55
The Bouncer,PS2,Action,T,66,20,79,35,0.3
DiRT 2,PS3,Racing,T,87,63,81,94,0.27
Guitar Hero: Aerosmith,PS3,Misc,T,70,39,49,26,0.73
Apollo Justice: Ace Attorney,DS,Adventure,T,78,48,80,84,0.28
Ace Combat X: Skies of Deception,PSP,Simulation,T,75,26,82,30,0.37
Midnight Club: LA Remix,PSP,Racing,T,79,26,86,43,0.52
Tales of Graces f,PS3,Role-Playing,T,77,55,81,336,0.28
WWE SmackDown vs Raw 2008,Wii,Fighting,T,59,13,58,18,0.38
Suikoden III,PS2,Role-Playing,T,86,23,76,113,0.29
Medal of Honor: Underground,PS,Shooter,T,86,16,89,44,0.54
Dark Cloud 2,PS2,Role-Playing,T,87,41,90,174,0.38
Guitar Hero: Warriors of Rock,Wii,Misc,T,77,26,74,17,0.47
PlayStation All-Stars Battle Royale,PS3,Action,T,74,69,72,540,0.5
Kessen,PS2,Strategy,T,75,20,83,12,0.27
Driver: San Francisco,PS3,Racing,T,79,53,76,114,0.24
Lost Planet 2,PS3,Shooter,T,68,56,68,62,0.29
Phantasy Star Portable,PSP,Role-Playing,T,64,38,77,19,0.19
WWE SmackDown vs. Raw 2009,PS3,Fighting,T,78,37,69,49,0.51
Bully,PS2,Action,T,87,69,90,293,0.75
Prince of Persia: The Sands of Time,XB,Action,T,92,41,77,72,0.57
Naruto Shippuden: Ultimate Ninja Storm 3,PS3,Fighting,T,77,32,78,187,0.32
EA Sports UFC 2,PS4,Sports,T,79,38,61,157,0.29
Tony Hawk's Pro Skater 4,XB,Sports,T,90,25,84,21,0.59
White Knight Chronicles: International Edition,PS3,Role-Playing,T,64,77,74,213,0.33
SingStar Abba,PS3,Misc,T,70,26,54,4,0.27
Guitar Hero: Metallica,Wii,Misc,T,85,20,85,17,0.4
007: The World is not Enough,PS,Action,T,61,11,66,44,0.51
Phoenix Wright: Ace Attorney,DS,Adventure,T,81,53,91,203,0.44
